sample	site	type	month.year
LP1	Luminao	diseased	Nov23
LP10	Luminao	diseased	Nov23
LP100	Luminao	diseased	May24
LP101	Luminao	diseased	May24
LP102	Luminao	diseased	May24
LP103	Luminao	diseased	May24
LP104	Luminao	diseased	May24
LP105	Luminao	diseased	May24
LP106	Luminao	diseased	May24
LP107	Luminao	diseased	May24
LP108	Luminao	diseased	May24
LP109	Luminao	diseased	May24
LP11	Luminao	diseased	Nov23
LP110	Luminao	diseased	May24
LP111	Luminao	diseased	May24
LP112	Luminao	diseased	May24
LP113	Luminao	diseased	May24
LP114	Luminao	diseased	May24
LP115	Luminao	diseased	May24
LP116	Luminao	diseased	May24
LP117	Tumon	diseased	May24
LP118	Tumon	diseased	May24
LP119	Tumon	diseased	May24
LP12	Luminao	diseased	Nov23
LP120	Tumon	diseased	May24
LP121	Tumon	diseased	May24
LP122	Tumon	diseased	May24
LP123	Tumon	diseased	May24
LP124	Tumon	diseased	May24
LP125	Tumon	diseased	May24
LP126	Tumon	diseased	May24
LP127	Tumon	diseased	May24
LP128	Tumon	diseased	May24
LP129	Tumon	diseased	May24
LP13	Luminao	diseased	Nov23
LP130	Tumon	diseased	May24
LP131	Tumon	diseased	May24
LP132	Tumon	diseased	May24
LP133	Tumon	diseased	May24
LP134	Tumon	diseased	May24
LP135	Tumon	diseased	May24
LP136	Tumon	diseased	May24
LP137	Tumon	diseased	May24
LP138	Luminao	healthy	May24
LP139	Luminao	healthy	May24
LP14	Luminao	diseased	Nov23
LP140	Luminao	healthy	May24
LP141	Luminao	healthy	May24
LP142	Tumon	healthy	May24
LP143	Tumon	healthy	May24
LP144	Tumon	healthy	May24
LP145	Tumon	healthy	May24
LP146	Tumon	healthy	May24
LP147	Tumon	healthy	May24
LP148	Tumon	healthy	May24
LP149	Luminao	diseased	Aug24
LP15	Luminao	diseased	Nov23
LP150	Luminao	diseased	Aug24
LP151	Luminao	diseased	Aug24
LP152	Luminao	diseased	Aug24
LP153	Luminao	diseased	Aug24
LP154	Luminao	diseased	Aug24
LP155	Luminao	diseased	Aug24
LP156	Luminao	diseased	Aug24
LP157	Luminao	diseased	Aug24
LP158	Luminao	diseased	Aug24
LP159	Luminao	diseased	Aug24
LP16	Luminao	diseased	Nov23
LP160	Luminao	diseased	Aug24
LP161	Luminao	diseased	Aug24
LP162	Luminao	diseased	Aug24
LP163	Luminao	diseased	Aug24
LP164	Luminao	diseased	Aug24
LP165	Luminao	diseased	Aug24
LP166	Luminao	diseased	Aug24
LP167	Luminao	diseased	Aug24
LP168	Luminao	diseased	Aug24
LP169	Luminao	healthy	Aug24
LP17	Luminao	diseased	Nov23
LP170	Luminao	healthy	Aug24
LP171	Luminao	healthy	Aug24
LP172	Luminao	healthy	Aug24
LP173	Tumon	diseased	Aug24
LP174	Tumon	diseased	Aug24
