ID	SITE	DATE	QUARTER	TRANSECT	SZ_CL	WS	WS-SEV
LUM00001	LUM	6/3/2011	2	1	1		
LUM00002	LUM	6/3/2011	2	1	1		
LUM00003	LUM	6/3/2011	2	1	1		
LUM00004	LUM	6/3/2011	2	1	1		
LUM00005	LUM	6/3/2011	2	1	1		
LUM00006	LUM	6/3/2011	2	1	1		
LUM00007	LUM	6/3/2011	2	1	1		
LUM00008	LUM	6/3/2011	2	1	1		
LUM00009	LUM	6/3/2011	2	1	1		
LUM00010	LUM	6/3/2011	2	1	1		
LUM00011	LUM	6/3/2011	2	1	1		
LUM00012	LUM	6/3/2011	2	1	1		
LUM00013	LUM	6/3/2011	2	1	1		
LUM00014	LUM	6/3/2011	2	1	1		
LUM00015	LUM	6/3/2011	2	1	1		
LUM00025	LUM	6/3/2011	2	1	2		
LUM00026	LUM	6/3/2011	2	1	2		
LUM00029	LUM	6/3/2011	2	1	2		
LUM00032	LUM	6/3/2011	2	1	4	WS	L
LUM00041	LUM	6/3/2011	2	1	3		
LUM00042	LUM	6/3/2011	2	1	5		
LUM00043	LUM	6/3/2011	2	1	3	WS	L
LUM00044	LUM	6/3/2011	2	1	3	WS	L
LUM00045	LUM	6/3/2011	2	1	4	WS	L
LUM00046	LUM	6/3/2011	2	1	3	WS	L
LUM00047	LUM	6/3/2011	2	1	3		
LUM00048	LUM	6/3/2011	2	1	4	WS	L
LUM00049	LUM	6/3/2011	2	1	3	WS	L
LUM00055	LUM	6/3/2011	2	1	1	WS	L
LUM00056	LUM	6/3/2011	2	1	1		
LUM00057	LUM	6/3/2011	2	1	1		
LUM00058	LUM	6/3/2011	2	1	1		
LUM00059	LUM	6/3/2011	2	1	1		
LUM00060	LUM	6/3/2011	2	1	1		
LUM00061	LUM	6/3/2011	2	1	1		
LUM00062	LUM	6/3/2011	2	1	1		
LUM00063	LUM	6/3/2011	2	1	1		
LUM00064	LUM	6/3/2011	2	1	1		
LUM00065	LUM	6/3/2011	2	1	1		
LUM00066	LUM	6/3/2011	2	1	1		
LUM00067	LUM	6/3/2011	2	1	1		
LUM00068	LUM	6/3/2011	2	1	1		
LUM00069	LUM	6/3/2011	2	1	1		
LUM00070	LUM	6/3/2011	2	1	1		
LUM00071	LUM	6/3/2011	2	1	1		
LUM00072	LUM	6/3/2011	2	1	2	WS	
LUM00073	LUM	6/3/2011	2	1	1	WS	
LUM00074	LUM	6/3/2011	2	1	1		
LUM00075	LUM	6/3/2011	2	1	1		
LUM00076	LUM	6/3/2011	2	1	1		
LUM00077	LUM	6/3/2011	2	1	1		
LUM00078	LUM	6/3/2011	2	1	1		
LUM00079	LUM	6/3/2011	2	1	1		
LUM00080	LUM	6/3/2011	2	1	1		
LUM00081	LUM	6/3/2011	2	1	1		
LUM00082	LUM	6/3/2011	2	1	1		
LUM00087	LUM	6/3/2011	2	1	5	WS	
LUM00088	LUM	6/3/2011	2	1	2	WS	
LUM00089	LUM	6/3/2011	2	1	3		
LUM00090	LUM	6/3/2011	2	1	2	WS	
LUM00091	LUM	6/3/2011	2	1	2		
LUM00092	LUM	6/3/2011	2	1	1		
LUM00093	LUM	6/3/2011	2	1	1		
LUM00094	LUM	6/3/2011	2	1	1		
LUM00104	LUM	6/3/2011	2	1	2	WS	L
LUM00105	LUM	6/3/2011	2	1	1	WS	L
LUM00106	LUM	6/3/2011	2	1	1	WS	L
LUM00107	LUM	6/3/2011	2	1	1		
LUM00108	LUM	6/3/2011	2	1	1		
LUM00109	LUM	6/3/2011	2	1	1		
LUM00110	LUM	6/3/2011	2	1	1		
LUM00111	LUM	6/3/2011	2	1	1		
LUM00112	LUM	6/3/2011	2	1	1		
LUM00113	LUM	6/3/2011	2	1	1		
LUM00114	LUM	6/3/2011	2	1	1		
LUM00115	LUM	6/3/2011	2	1	1		
LUM00116	LUM	6/3/2011	2	1	1	WS	L
LUM00117	LUM	6/3/2011	2	1	1	WS	L
LUM00118	LUM	6/3/2011	2	1	1		
LUM00119	LUM	6/3/2011	2	1	1		
LUM00120	LUM	6/3/2011	2	1	1		
LUM00121	LUM	6/3/2011	2	1	1		
LUM00122	LUM	6/3/2011	2	1	1		
LUM00123	LUM	6/3/2011	2	1	1		
LUM00124	LUM	6/3/2011	2	1	1		
LUM00125	LUM	6/3/2011	2	1	1		
LUM00126	LUM	6/3/2011	2	1	1		
LUM00127	LUM	6/3/2011	2	1	1		
LUM00128	LUM	6/3/2011	2	1	1		
LUM00129	LUM	6/3/2011	2	1	1		
LUM00130	LUM	6/3/2011	2	1	3	WS	L
LUM00133	LUM	6/3/2011	2	1	2	WS	
LUM00134	LUM	6/3/2011	2	1	2		
LUM00135	LUM	6/3/2011	2	1	6	WS	L
LUM00136	LUM	6/3/2011	2	1	2		
LUM00140	LUM	6/3/2011	2	1	5	WS	M
LUM00141	LUM	6/3/2011	2	1	5	WS	
LUM00144	LUM	6/3/2011	2	1	4		
LUM00145	LUM	6/3/2011	2	1	3		
LUM00146	LUM	6/3/2011	2	1	2	WS	L
LUM00147	LUM	6/3/2011	2	1	2	WS	L
LUM00148	LUM	6/3/2011	2	1	2	WS	L
LUM00149	LUM	6/3/2011	2	1	2	WS	
LUM00151	LUM	6/3/2011	2	2	1	WS	L
LUM00152	LUM	6/3/2011	2	2	5		
LUM00153	LUM	6/3/2011	2	2	3	WS	L
LUM00154	LUM	6/3/2011	2	2	3		
LUM00155	LUM	6/3/2011	2	2	6		
LUM00157	LUM	6/3/2011	2	2	5	WS	L
LUM00158	LUM	6/3/2011	2	2	5		
LUM00161	LUM	6/3/2011	2	2	3	WS	L
LUM00162	LUM	6/3/2011	2	2	2	WS	L
LUM00163	LUM	6/3/2011	2	2	3	WS	L
LUM00164	LUM	6/3/2011	2	2	3		
LUM00165	LUM	6/3/2011	2	2	2		
LUM00168	LUM	6/3/2011	2	2	4		
LUM00169	LUM	6/3/2011	2	2	2		
LUM00170	LUM	6/3/2011	2	2	2		
LUM00178	LUM	6/3/2011	2	2	2		
LUM00181	LUM	6/3/2011	2	2	4	WS	L
LUM00184	LUM	6/3/2011	2	2	5	WS	L
LUM00185	LUM	6/3/2011	2	2	3	WS	L
LUM00186	LUM	6/3/2011	2	2	4		
LUM00187	LUM	6/3/2011	2	2	6	WS	L
LUM00192	LUM	6/3/2011	2	2	4	WS	L
LUM00193	LUM	6/3/2011	2	2	3	WS	L
LUM00196	LUM	6/3/2011	2	2	3	WS	L
LUM00197	LUM	6/3/2011	2	2	3	WS	L
LUM00198	LUM	6/3/2011	2	2	2		
LUM00199	LUM	6/3/2011	2	2	5		
LUM00200	LUM	6/3/2011	2	2	4	WS	L
LUM00201	LUM	6/3/2011	2	2	3		
LUM00202	LUM	6/3/2011	2	2	3		
LUM00203	LUM	6/3/2011	2	2	2		
LUM00211	LUM	6/3/2011	2	2	3	WS	L
LUM00212	LUM	6/3/2011	2	2	2		
LUM00216	LUM	6/3/2011	2	2	3		
LUM00217	LUM	6/3/2011	2	2	4		
LUM00218	LUM	6/3/2011	2	2	3		
LUM00219	LUM	6/3/2011	2	2	2	WS	L
LUM00227	LUM	6/3/2011	2	2	4	WS	L
LUM00228	LUM	6/3/2011	2	2	4		
LUM00229	LUM	6/3/2011	2	2	5	WS	L
LUM00232	LUM	6/3/2011	2	2	3	WS	L
LUM00233	LUM	6/3/2011	2	2	4		
LUM00235	LUM	6/3/2011	2	2	4	WS	L
LUM00236	LUM	6/3/2011	2	2	4		
LUM00237	LUM	6/3/2011	2	2	3	WS	L
LUM00238	LUM	6/3/2011	2	2	2		
LUM00240	LUM	6/3/2011	2	3	3		
LUM00241	LUM	6/3/2011	2	3	2		
LUM00250	LUM	6/3/2011	2	3	2		
LUM00251	LUM	6/3/2011	2	3	2		
LUM00256	LUM	6/3/2011	2	3	5		
LUM00257	LUM	6/3/2011	2	3	3		
LUM00258	LUM	6/3/2011	2	3	3		
LUM00259	LUM	6/3/2011	2	3	3	WS	L
LUM00260	LUM	6/3/2011	2	3	3		
LUM00261	LUM	6/3/2011	2	3	3		
LUM00262	LUM	6/3/2011	2	3	3		
LUM00263	LUM	6/3/2011	2	3	3		
LUM00270	LUM	6/3/2011	2	3	3		
LUM00272	LUM	6/3/2011	2	3	3		
LUM00274	LUM	6/3/2011	2	3	3		
LUM00275	LUM	6/3/2011	2	3	5	WS	L
LUM00276	LUM	6/3/2011	2	3	5	WS	L
LUM00277	LUM	6/3/2011	2	3	5		
LUM00278	LUM	6/3/2011	2	3	4		
LUM00279	LUM	6/3/2011	2	3	5		
LUM00281	LUM	6/3/2011	2	3	4		
LUM00284	LUM	6/3/2011	2	3	2		
