Genus	LP1	LP10	LP100	LP101	LP102	LP103	LP104	LP105	LP106	LP107	LP108	LP109	LP11	LP110	LP111	LP112	LP113	LP114	LP115	LP116	LP117	LP118	LP119	LP12	LP120	LP121	LP122	LP123	LP124	LP125	LP126	LP127	LP128	LP129	LP13	LP130	LP131	LP132	LP133	LP134	LP135	LP136	LP137	LP138	LP139	LP14	LP140	LP141	LP142	LP143	LP144	LP145	LP146	LP147	LP148	LP149	LP15	LP150	LP151	LP152	LP153	LP154	LP155	LP156	LP157	LP158	LP159	LP16	LP160	LP161	LP162	LP163	LP164	LP165	LP166	LP167	LP168	LP169	LP17	LP170	LP171	LP172	LP173	LP174	LP175	LP176	LP177	LP178	LP179	LP18	LP180	LP181	LP182	LP183	LP184	LP185	LP186	LP187	LP188	LP189	LP19	LP190	LP191	LP192	LP193	LP194	LP195	LP196	LP197	LP198	LP199	LP2	LP20	LP200	LP201	LP21	LP22	LP23	LP24	LP25	LP26	LP27	LP28	LP29	LP3	LP30	LP31	LP32	LP33	LP34	LP35	LP36	LP37	LP38	LP39	LP4	LP40	LP41	LP42	LP43	LP45	LP46	LP47	LP48	LP49	LP5	LP50	LP51	LP52	LP53	LP54	LP55	LP56	LP57	LP58	LP59	LP6	LP60	LP61	LP62	LP63	LP64	LP65	LP66	LP67	LP68	LP69	LP7	LP70	LP71	LP72	LP73	LP74	LP76	LP77	LP78	LP79	LP8	LP80	LP81	LP82	LP83	LP84	LP85	LP86	LP87	LP88	LP89	LP90	LP91	LP92	LP93	LP94	LP95	LP96	LP97	LP98	LP99
Acrophormium	0	0.009366637	0	0	0	0.009090226	0.003500073	0	0	0	0.005795517	0.009362529	0.002091129	0	0.008275597	0.004632807	0	0.0034762	0	0	0	0.002862325	0.00234327	0	0	0.011376828	0.003016517	0.008012541	0	0.004886896	0	0.040388469	0.017092924	0.005481509	0	0.022700934	0	0	0	0.003426312	0	0	0	0	0	0.008998377	0	0	0	0	0.003536693	0	0	0	0	0.026706944	0.001153914	0	0	0	0.03968254	0.003790069	0	0.007267442	0	0	0	0	0	0	0	0	0	0	0.003958705	0.004299342	0.005462615	0.000770614	0	0	0	0	0.072622159	0.02382533	0.006799652	0.043153388	0.012688768	0	0	0.027926124	0.057439446	0.115437911	0.060103263	0.012724792	0.002892814	0.013473284	0.03763346	0.002405407	0	0.079545455	0.001188511	0.002420034	0	0.081221923	0	0	0	0	0	0	0	0	0	0	0	0.005715961	0.00130279	0.012106204	0	0	0.004817548	0.015137615	0.006011809	0	0	0	0.001866397	0	0	0	0	0.006097561	0	0	0	0	0.000507769	0	0	0	0	0	0	0	0	0	0.009470579	0	0	0.00419635	0	0	0	0	0	0	0	0.012037037	0	0	0	0.015490112	0	0.034722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050572896	0.005659892	0.049175189	0.011232612	0.004990482	0.0061133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046180964
Algicola	0.004311189	0	0	0	0	0	0.001137524	0	0	0	0	0.002711552	0	0	0.114735694	0	0	0	0	0	0.1085724	0.036558408	0.006184696	0	0.001740883	0.001006114	0.006280289	0	0.01381062	0.001813693	0.005999281	0.005048559	0.002855925	0.036943871	0.001859427	0.003272207	0.010043309	0	0.040408526	0.010103229	0.077812543	0.096472613	0.185828995	0	0	0	0.008794326	0	0	0	0	0	0	0	0	0	0	0.010878584	0	0.018234165	0.007607192	0.00664868	0	0.003806755	0	0	0.093136095	0.001701114	0.077391749	0	0.020192036	0.011501013	0	0	0	0	0.024923182	0	0.000911961	0	0	0	0	0.00420447	0.00325481	0.061371841	0.002993477	0.012601765	0.002503129	0	0	0	0.001553963	0	0	0.005370899	0.001588282	0.015562986	0.031088226	0.070855615	0	0	0	0	0	0	0	0	0	0	0	0.122731201	0.047952625	0.002539123	0	0.009086912	0.074259038	0.019947723	0	0.014698163	0.013940139	0.016513761	0.005797101	0.027150801	0.006482849	0.033324918	0.041216269	0.01224458	0.003388893	0.004662334	0.010578766	0.006053053	0.024823923	0.006565083	0	0	0	0	0	0	0.001193674	0.002409192	0.012981661	0	0.006792059	0	0	0.002353587	0	0	0	0.0039417	0	0	0	0	0.019995403	0	0	0	0	0	0	0.004419192	0.078807619	0	0.027621542	0.010747873	0.01685308	0.005033557	0.034100782	0	0.013596341	0	0.048946958	0.018267293	0.06835842	0.03561982	0	0	0	0.00200848	0.00416731	0.004256668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter	0	0	0	0	0	0	0.010966895	0.009241998	0	0	0	0	0	0	0.040544008	0	0	0.002883666	0	0	0.001133915	0.063878025	0.006107867	0	0	0	0.003016517	0	0	0	0.021232479	0	0.001534527	0	0	0	0.0015681	0	0.003142506	0	0.037341858	0	0.036471661	0	0	0	0.002893617	0	0	0	0	0	0	0	0	0	0	0	0.006204136	0	0	0.02078114	0	0.002145626	0.008876852	0.074937706	0.004467456	0	0	0	0.053515956	0	0.139137785	0	0.004308003	0	0.001463201	0	0	0	0	0	0	0	0.000290033	0.001385274	0	0.036401634	0	0	0	0	0.001503835	0	0.000837393	0.002977013	0	0.022225964	0.027205639	0	0.001320568	0	0	0.008086253	0	0	0	0	0	0	0	0	0.061096266	0	0	0	0.029855607	0.020498005	0.009684519	0	0	0	0	0.035001636	0	0.012370613	0.006687923	0.00249571	0.006916108	0.002331167	0.007129168	0	0.003579263	0	0	0	0	0	0	0	0	0	0.015402844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006514197	0	0.142961707	0	0.035528114	0	0.004235447	0.027146959	0.096574469	0	0	0.05238415	0.021192197	0	0	0	0	0	0.003086896	0.000905674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacteriaceae_UG	0	0.003122212	0.001631238	0.015986794	0.025482833	0.005709564	0.00352924	0.029788584	0.03248249	0	0	0	0	0	0.020656916	0	0.002656407	0	0.003260171	0	0.001927656	0.016947231	0.018707744	0	0	0.02739726	0	0.011008535	0	0.02171394	0.002377595	0.024895946	0.069522592	0.0239159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00937146	0.001420202	0.005116622	0	0.001268166	0.003655404	0	0	0.018341639	0	0	0	0	0	0	0.002178561	0	0	0.005275961	0.020298067	0	0	0	0	0	0	0	0.031915736	0.1188316	0.005865103	0.034086139	0.013492985	0.009888019	0	0	0.006314879	0.004085983	0.011429144	0.031204266	0.02068108	0.016204769	0.013985705	0.007216222	0.017540478	0	0.010564543	0.015888047	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044408618	0.006188253	0.007428807	0	0	0	0.000840979	0	0.003053102	0	0.026129765	0.033439614	0.032678209	0.000760772	0.027338231	0.003449598	0	0.009236809	0	0	0	0	0	0	0	0	0	0.00159695	0	0.00973093	0	0	0.007570706	0.010604085	0	0.010672854	0	0	0	0	0	0	0	0	0	0.005250372	0	0.003249567	0.005892256	0	0	0	0	0.002125614	0	0.006841877	0.007346086	0	0	0.0224909	0	0	0	0	0	0.01696642	0	0.004270206	0.003622696	0	0	0	0	0	0	0	0	0	0	0	0.003958114	0	0.001586369
Hyphomonas	0.00989614	0.006021409	0	0.020852339	0.004399142	0	0.004929269	0	0	0	0	0	0.007594101	0	0.004105722	0.011381835	0.013602638	0.00991507	0	0	0.01729221	0.01334807	0.016518132	0.004377662	0.008521165	0.016097825	0.014637523	0.010451141	0.007500595	0.018892639	0.001575848	0.019307846	0.006436488	0.019072649	0.002510227	0.011861749	0.004928315	0.004540838	0.012501708	0.027103009	0.000612162	0.011930026	0.001411806	0	0	0.004130403	0	0	0	0	0.006483938	0	0	0	0	0.01963544	0.003905557	0.020466488	0.040693796	0.011824787	0.012645722	0.016637759	0.010731053	0.004741141	0.048747461	0	0	0.005188398	0	0	0.009158026	0	0	0.012763403	0.009625087	0.043351695	0.013656538	0	0.003016485	0	0	0	0.014017581	0.034078336	0.037962038	0.018260432	0	0.022365015	0.028933225	0.029149978	0.026211073	0.021957719	0.010125821	0.027508372	0.039357491	0.024675444	0.024971323	0.005364058	0.005975328	0.063057041	0.011819082	0	0	0	0	0	0	0	0	0	0	0.002917027	0.001444356	0	0	0.017147882	0.005319726	0.016508461	0.004988995	0.005849269	0.004612546	0.004357798	0.004723564	0.004361575	0.004103069	0.011991921	0.012131581	0.01715801	0.009405906	0.012079684	0.00505941	0.005207406	0.01085325	0	0	0.018148565	0	0	0	0	0	0.013590314	0	0	0.002873563	0	0.006132588	0.003020437	0.009474142	0.006148141	0.011678268	0.021083509	0.005287419	0.006185086	0.007001809	0	0.009193289	0.010978836	0.008318808	0.006653406	0.011519473	0.005204188	0.009477903	0.014941077	0	0.013607776	0	0.002463054	0	0	0.004126846	0.002759444	0	0	0	0.011551377	0	0.0024687	0.020248913	0.015693337	0.031581835	0.02462248	0.009672275	0.005207626	0	0	0	0	0	0	0	0	0	0	0	0.018988927	0.003536385	0.0153349
Kiloniella	0	0.002676182	0	0	0.006706009	0	0.005483448	0.034786403	0.006957176	0	0	0	0	0	0.039549654	0	0.017129248	0.011692672	0.00174488	0.005194957	0	0.010542425	0.009488322	0	0	0	0.002373652	0	0.01206445	0	0.054518813	0.00639741	0	0	0.059222759	0	0.010379331	0	0.000785626	0	0	0	0	0	0	0.001327629	0	0	0	0	0	0	0	0	0	0.002643232	0.011272856	0.079607265	0	0.018953935	0.001416057	0.004079142	0	0	0	0.076198973	0	0.005868844	0	0.010222239	0	0	0	0.005844628	0.027749748	0	0.008632883	0	0.013539109	0	0	0	0	0	0.021978022	0.003232306	0.002591368	0	0	0	0	0	0.002456263	0.013692174	0.001218027	0.020071817	0	0.004185409	0.084205309	0.134135472	0.026939584	0.06797138	0	0	0	0	0	0	0	0	0	0	0.035675598	0	0	0.00234501	0	0.003989545	0	0	0	0	0	0.131392433	0	0.026255996	0.051559219	0.012946498	0	0	0	0.00097917	0.013277912	0	0	0	0	0	0	0	0	0.020941438	0.027302699	0	0	0	0.002794597	0.032401051	0	0.008441495	0	0	0.003050434	0	0.002517505	0	0	0.010119048	0	0.006379038	0.016299663	0	0.008286395	0.002384961	0	0	0	0	0	0	0	0.085169855	0.008493824	0	0	0.037743452	0.006140303	0	0	0	0	0.003719408	0.006276689	0.006883123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mastigocoleus	0	0.005575379	0	0.020417916	0	0.046352641	0.016187837	0	0	0.022870491	0.045872061	0.00189297	0.004512437	0.010322792	0.008339749	0.02299245	0	0.015168872	0.004408118	0.005953771	0	0	0	0.00295788	0	0	0.003065968	0.001532834	0	0.004534233	0.002018191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012096179	0	0	0	0	0	0	0	0	0	0.034979918	0	0	0	0	0.024138839	0.004817884	0	0.00231866	0.025803054	0	0	0.008250404	0	0	0	0	0	0	0.005200652	0.07264096	0.003219041	0	0	0	0	0	0	0	0	0	0	0	0	0.027036048	0	0.005542725	0	0	0	0	0	0	0	0	0.00165071	0	0	0	0	0	0	0	0	0	0	0	0.002383188	0	0	0.001758757	0	0.010592929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000692761	0	0	0	0	0	0	0	0	0.010995799	0.005975685	0	0.004179728	0	0	0	0.023554976	0	0	0.052250435	0.010168113	0.285797643	0.015577059	0	0	0.044312169	0.169545238	0.013512587	0.069195204	0.158819568	0	0	0	0.031789594	0	0	0	0	0	0	0	0	0	0	0.001956203	0	0	0.018266015	0.005799146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056115036	0.013697266	0.028143361
Microscilla	0.023907505	0.009812667	0	0.004170468	0.007027897	0	0.057547032	0.020348261	0.006722136	0	0.003663204	0	0	0	0.002020785	0	0.002610607	0.018210547	0	0	0	0.017967466	0.008066994	0.003904401	0	0.000928721	0.015626545	0	0.010715136	0.00141065	0.027812336	0.000886388	0.002941176	0	0.044998141	0	0.025350956	0	0	0	0	0	0	0	0	0.001032601	0	0	0	0	0	0	0	0	0	0.005732725	0.032309604	0.019221905	0	0.011824787	0.013304354	0.021262928	0	0	0	0.052757868	0.001272189	0.02993961	0	0.006284784	0	0	0.055114117	0.030992323	0.017775363	0	0.018728966	0	0.010803227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004737691	0.012357897	0	0	0.054602747	0.014070933	0	0.063387257	0.169191919	0	0	0	0	0	0	0	0	0	0.058556612	0.035097855	0	0	0.001758757	0	0.003439263	0	0	0	0	0.000644122	0.051902737	0.006893156	0.01350669	0.011120616	0.004289502	0	0	0	0.000445077	0.007158527	0	0	0.044316263	0	0	0	0	0	0.005065481	0.053214506	0	0.004963427	0.008084577	0.016612327	0.072333582	0.001564537	0.015711916	0.007656613	0.010083417	0.023996746	0.006593535	0.011879474	0.006890474	0.007584463	0.040608466	0	0.014198505	0.016691482	0.005449091	0.009586222	0.001893939	0.004390002	0	0	0.006493506	0.057594008	0	0.037304518	0.038184734	0.094583243	0.009185354	0.008905356	0	0	0.099806031	0.000691426	0	0	0.005281559	0.003807172	0.00366798	0	0	0	0	0	0	0	0	0	0	0	0.001202465	0.001842905	0.001292597
Muricauda	0.024005487	0	0.009940358	0.040401408	0.023390558	0	0.010675222	0.027170679	0.035726038	0.010810517	0.025806452	0	0.011776359	0.0063903	0.022389017	0.033459163	0.037418705	0.026071499	0.010285609	0	0.009808368	0.018109165	0.010256607	0.003431141	0.007879787	0.009209813	0.007022055	0.006479707	0.010834193	0.021210137	0.005059302	0.032603669	0.022293265	0.038483199	0.005764225	0	0.005824373	0.005437056	0.006763219	0.008302218	0.00098626	0.006137081	0.000529427	0	0	0.003982888	0	0	0	0	0.009234699	0	0	0	0	0.053207923	0.012693059	0.065778556	0.062441628	0.033657801	0.024962129	0.011370206	0.021164021	0.01733804	0	0.016304181	0	0.00893085	0	0.000908643	0.015613023	0	0	0.03462547	0.063688582	0.104482959	0.019119153	0	0.019501929	0	0	0	0.068741585	0.035258538	0.046405208	0.029510536	0.046510589	0.040175926	0.067658102	0.035157988	0.0375	0.033611654	0.013584641	0.078109885	0.049609216	0.046343185	0.026383129	0.01051163	0.036127327	0	0.021591284	0	0	0	0	0	0	0	0	0	0	0.005293863	0.003249801	0	0	0.045727686	0.007273912	0.037969459	0.009684519	0.009973753	0.013222632	0.00382263	0.008158884	0.005015811	0.005908419	0.01855592	0.032506416	0.041023241	0.00449547	0.056442498	0.004906094	0.013441339	0.017896317	0	0	0.078925155	0.002234183	0	0	0	0	0.021744502	0.013239233	0.00502624	0.009404389	0.009742952	0.019639807	0.009257443	0.021816601	0.036352103	0.044547564	0.064625539	0.009286876	0	0.006215089	0.02964506	0.010572282	0	0	0.026407847	0.047488441	0	0.028758666	0.01164422	0.034411952	0.030188679	0.003659758	0.017241379	0.006478061	0	0.011457428	0.003542529	0.002209017	0.031356899	0	0.065748825	0	0.020454946	0.014618728	0	0.043611144	0.05408019	0	0.01589458	0	0	0	0	0	0	0	0	0	0	0	0.031564708	0.017482692	0.042185664
Nodosilineaceae_UG	0	0	0.015190906	0.029888353	0	0	0.005395946	0	0.008555446	0	0.032476763	0.012074082	0.00583315	0	0.00705671	0.015900252	0.007602821	0	0.005969327	0.005136587	0	0	0.013060848	0.005087553	0	0.011647705	0.004005539	0.003205017	0.004563854	0.024938284	0.006579857	0.053414521	0.029028133	0.03112446	0	0.011589065	0.001157407	0	0	0	0	0	0	0	0	0.004130403	0	0	0	0	0	0	0	0	0	0.009268477	0	0.009772287	0	0.001679463	0.008265824	0	0	0	0	0	0	0.006464234	0	0	0	0	0	0	0.011371575	0	0	0	0.001332866	0	0	0	0.028193553	0.02662831	0.023138152	0.016119553	0.005450809	0.007704545	0.099977914	0.009902092	0.00350346	0.021247113	0.060654669	0.021431229	0.009972594	0.088113433	0.020338833	0	0.023460734	0	0.006536811	0	0	0	0	0	0	0	0	0	0	0	0.001588792	0	0	0.031071376	0	0.020635576	0.003521643	0.001724784	0.025522755	0.003287462	0.017176597	0	0	0	0.009798585	0.007721104	0	0.013633795	0	0.019850454	0.025516684	0	0	0	0	0	0	0	0	0	0	0.004361002	0	0	0.008616674	0	0	0.004245145	0	0.018975158	0	0.020480803	0	0	0	0.01712963	0	0	0	0	0	0.015642536	0	0.031903945	0	0	0	0	0.0178649	0	0	0	0	0.031564809	0.008802913	0	0	0.019723866	0.031699385	0.049840065	0.006225241	0.020966354	0	0	0	0	0	0	0	0	0	0	0	0.084072348	0.018777706	0.052408931
