ID	SITE	DATE	QUARTER	TRANSECT	SZ_CL	WS	WS-SEV
TUM00001	TUM	6/7/2011	2	1	2		
TUM00002	TUM	6/7/2011	2	1	2		
TUM00003	TUM	6/7/2011	2	1	1		
TUM00004	TUM	6/7/2011	2	1	1		
TUM00005	TUM	6/7/2011	2	1	1		
TUM00006	TUM	6/7/2011	2	1	1		
TUM00007	TUM	6/7/2011	2	1	1		
TUM00008	TUM	6/7/2011	2	1	1		
TUM00020	TUM	6/7/2011	2	1	3		
TUM00021	TUM	6/7/2011	2	1	3		
TUM00023	TUM	6/7/2011	2	1	1		
TUM00024	TUM	6/7/2011	2	1	1		
TUM00025	TUM	6/7/2011	2	1	1		
TUM00026	TUM	6/7/2011	2	1	1		
TUM00035	TUM	6/7/2011	2	1	1		
TUM00036	TUM	6/7/2011	2	1	1		
TUM00037	TUM	6/7/2011	2	1	1		
TUM00038	TUM	6/7/2011	2	1	1		
TUM00039	TUM	6/7/2011	2	1	1		
TUM00040	TUM	6/7/2011	2	1	2		
TUM00041	TUM	6/7/2011	2	1	3		
TUM00042	TUM	6/7/2011	2	1	3		
TUM00053	TUM	6/7/2011	2	1	5		
TUM00054	TUM	6/7/2011	2	1	2		
TUM00067	TUM	6/7/2011	2	1	3		
TUM00070	TUM	6/7/2011	2	1	3		
TUM00071	TUM	6/7/2011	2	1	2		
TUM00087	TUM	6/7/2011	2	1	1		
TUM00096	TUM	6/7/2011	2	1	2		
TUM00097	TUM	6/7/2011	2	1	4		
TUM00098	TUM	6/7/2011	2	1	2		
TUM00099	TUM	6/7/2011	2	1	3		
TUM00100	TUM	6/7/2011	2	1	4		
TUM00109	TUM	6/7/2011	2	1	2		
TUM00110	TUM	6/7/2011	2	1	4		
TUM00111	TUM	6/7/2011	2	1	3	WS	L
TUM00112	TUM	6/7/2011	2	1	2	WS	L
TUM00113	TUM	6/7/2011	2	1	3		
TUM00125	TUM	6/7/2011	2	1	2		
TUM00126	TUM	6/7/2011	2	1	2	WS	L
TUM00127	TUM	6/7/2011	2	1	2		
TUM00128	TUM	6/7/2011	2	1	2		
TUM00129	TUM	6/7/2011	2	1	2		
TUM00130	TUM	6/7/2011	2	1	3		
TUM00131	TUM	6/7/2011	2	1	4		
TUM00132	TUM	6/7/2011	2	1	1		
TUM00145	TUM	6/7/2011	2	1	2		
TUM00146	TUM	6/7/2011	2	1	2		
TUM00150	TUM	6/7/2011	2	1	3		
TUM00151	TUM	6/7/2011	2	1	5		
TUM00154	TUM	6/7/2011	2	1	3		
TUM00158	TUM	6/7/2011	2	1	2		
TUM00159	TUM	6/7/2011	2	1	3		
TUM00164	TUM	6/7/2011	2	1	2		
TUM00165	TUM	6/7/2011	2	1	2		
TUM00167	TUM	6/7/2011	2	1	3	WS	L
TUM00168	TUM	6/7/2011	2	1	2		
TUM00169	TUM	6/7/2011	2	1	1		
TUM00172	TUM	6/7/2011	2	1	3		
TUM00179	TUM	6/7/2011	2	1	2		
TUM00180	TUM	6/7/2011	2	1	2		
TUM00181	TUM	6/7/2011	2	1	2		
TUM00182	TUM	6/7/2011	2	1	2	WS	L
