site	chla	month.year
Luminao	0.11	Aug.24
Luminao	0.14	Aug.24
Luminao	0.12	Aug.24
Tumon	0.23	Aug.24
Tumon	0.21	Aug.24
Tumon	0.23	Aug.24
Luminao	0.11	Dec.23
Luminao	0.11	Dec.23
Luminao	0.1	Dec.23
Tumon	0.15	Dec.23
Tumon	0.17	Dec.23
Tumon	0.16	Dec.23
Luminao	0.09	Jan.24
Luminao	0.1	Jan.24
Luminao	0.12	Jan.24
Tumon	0.16	Jan.24
Tumon	0.13	Jan.24
Tumon	0.2	Jan.24
Luminao	0.12	Mar.24
Luminao	0.10	Mar.24
Luminao	0.10	Mar.24
Tumon	0.21	Mar.24
Tumon	0.26	Mar.24
Tumon	0.18	Mar.24
Luminao	0.12	May.24
Luminao	0.11	May.24
Luminao	0.13	May.24
Tumon	0.45	May.24
Tumon	0.66	May.24
Tumon	0.41	May.24
Luminao	0.1	Nov.23
Luminao	0.1	Nov.23
Luminao	0.1	Nov.23
Tumon	0.68	Nov.23
Tumon	1.09	Nov.23
Tumon	2.09	Nov.23
Luminao	0.16	Oct.23
Luminao	0.11	Oct.23
Luminao	0.12	Oct.23
Tumon	1.5	Oct.23
Tumon	0.94	Oct.23
Tumon	1.6	Oct.23
Luminao	0.22	Sep.24
Luminao	0.26	Sep.24
Luminao	0.21	Sep.24
Tumon	0.58	Sep.24
Tumon	0.23	Sep.24
Tumon	0.15	Sep.24
