sampleID	site	month	year	season	cat	cat2	month.year	type	colony.name	colony.name2	colony.no	lesion.name	lesion.type	lesion.size	progr.rate	date
eDNA1	Tumon	Oct	2023	wet	T-S	Tu-Oct	Oct.23	sediment	na	na	na	na	na	na	na	10/24/2023
eDNA10	Tumon	Nov	2023	wet	T-S	Tu-Nov	Nov.23	sediment	na	na	na	na	na	na	na	11/15/2023
eDNA11	Tumon	Nov	2023	wet	T-S	Tu-Nov	Nov.23	sediment	na	na	na	na	na	na	na	11/15/2023
eDNA12	Tumon	Nov	2023	wet	T-S	Tu-Nov	Nov.23	sediment	na	na	na	na	na	na	na	11/15/2023
eDNA13	Tumon	Oct	2023	wet	T-W	Tu-Oct	Oct.23	seawater	na	na	na	na	na	na	na	10/24/2023
eDNA14	Tumon	Oct	2023	wet	T-W	Tu-Oct	Oct.23	seawater	na	na	na	na	na	na	na	10/24/2023
eDNA15	Tumon	Oct	2023	wet	T-W	Tu-Oct	Oct.23	seawater	na	na	na	na	na	na	na	10/24/2023
eDNA16	Luminao	Oct	2023	wet	L-W	Lu-Oct	Oct.23	seawater	na	na	na	na	na	na	na	10/24/2023
eDNA18	Luminao	Oct	2023	wet	L-W	Lu-Oct	Oct.23	seawater	na	na	na	na	na	na	na	10/24/2023
eDNA19	Tumon	Nov	2023	wet	T-W	Tu-Nov	Nov.23	seawater	na	na	na	na	na	na	na	11/15/2023
eDNA2	Tumon	Oct	2023	wet	T-S	Tu-Oct	Oct.23	sediment	na	na	na	na	na	na	na	10/24/2023
eDNA20	Tumon	Nov	2023	wet	T-W	Tu-Nov	Nov.23	seawater	na	na	na	na	na	na	na	11/15/2023
eDNA21	Tumon	Nov	2023	wet	T-W	Tu-Nov	Nov.23	seawater	na	na	na	na	na	na	na	11/15/2023
eDNA22	Luminao	Nov	2023	wet	L-W	Lu-Nov	Nov.23	seawater	na	na	na	na	na	na	na	11/20/2023
