site	month.year	nit
Tumon	Oct.23	0.1130
Tumon	Oct.23	0.1260
Tumon	Oct.23	0.1250
Luminao	Oct.23	0.0770
Luminao	Oct.23	0.0690
Luminao	Oct.23	0.0670
Tumon	Nov.23	0.1365
Tumon	Nov.23	0.1601
Tumon	Nov.23	0.1534
Luminao	Nov.23	0.0790
Luminao	Nov.23	0.0779
Luminao	Nov.23	0.0846
Luminao	Nov.23	0.0770
Luminao	Nov.23	0.0740
Luminao	Nov.23	0.0730
Tumon	Nov.23	0.0690
Tumon	Nov.23	0.0680
Tumon	Nov.23	0.0760
Tumon	Dec.23	0.1094
Tumon	Dec.23	0.0925
Tumon	Dec.23	0.0937
Luminao	Dec.23	0.0722
Luminao	Dec.23	0.0689
Luminao	Dec.23	0.0756
Luminao	Jan.24	0.0644
Luminao	Jan.24	0.0655
Luminao	Jan.24	0.0756
Tumon	Jan.24	0.0846
Tumon	Jan.24	0.0734
Tumon	Jan.24	0.0858
Tumon	Mar.24	0.1106
Tumon	Mar.24	0.1489
Tumon	Mar.24	0.0970
Luminao	Mar.24	0.0824
Luminao	Mar.24	0.0813
Luminao	Mar.24	0.0858
Luminao	May.24	0.0756
Luminao	May.24	0.0745
Luminao	May.24	0.0813
Tumon	May.24	0.1624
Tumon	May.24	0.1996
Tumon	May.24	0.1489
Luminao	Aug.24	0.0801
Luminao	Aug.24	0.0790
Luminao	Aug.24	0.0734
Tumon	Aug.24	0.0689
Tumon	Aug.24	0.0689
Tumon	Aug.24	0.0644
Luminao	Sep.24	0.0779
Luminao	Sep.24	0.0993
Luminao	Sep.24	0.0711
Tumon	Sep.24	0.1354
Tumon	Sep.24	0.1489
Tumon	Sep.24	0.1759
