	Kingdom	Phylum	Class	Order	Family	Genus
ASV515	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	Pacearchaeales_UF4	SCGC AAA011-D5
ASV65	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II
ASV333	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II
ASV518	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II
ASV649	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II
ASV711	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II
ASV83	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV264	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV307	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV417	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV540	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV553	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV562	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV623	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV720	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV420	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum
ASV448	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae
ASV560	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
ASV59	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina
ASV413	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina
ASV506	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina
ASV267	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales
ASV563	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales
ASV636	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales
ASV681	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales	Actinomarinales
ASV203	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV290	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Candidatus Hepatoplasma
ASV644	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
ASV369	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV374	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Vallitalea
ASV519	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Wukongibacter
ASV134	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
ASV138	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
ASV157	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
ASV178	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
ASV627	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
ASV609	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales	Bacteroidales
ASV508	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	Bacteroidetes BD2-2
ASV678	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	Bacteroidetes BD2-2
ASV710	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	Bacteroidetes BD2-2
